"election_id_slim","year","state","state_po","state_fips","state_cen","state_ic","office","district","election_id","candidate.D.congress","voteshare.D.congress","candidate.R.congress","voteshare.R.congress","candidate.R.governor","candidate.D.governor","voteshare.R.governor","voteshare.D.governor","candidate.D.president","candidate.R.president","voteshare.D.president","voteshare.R.president"
"DE_1996",1996,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_1996_0","DENNIS E WILLIAMS",0.274548309604206,"MICHAEL N CASTLE",0.695485157271831,"Rzewnicki, Janet C.","Carper, Thomas R.",0.305,0.695,"CLINTON, BILL","DOLE, ROBERT",0.518278497839814,0.365798899597504
"DE_2000",2000,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_2000_0","MICHEAL C MILLER",0.308144325287584,"MICHAEL N CASTLE",0.676395444645287,"Burris, John M.","Minner, Ruth Ann",0.4015,0.5985,"GORE, AL","BUSH, GEORGE W.",0.549777271630909,0.419162883286671
"DE_2004",2004,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_2004_0","PAUL DONNELLY",0.296917524470221,"MICHAEL N CASTLE",0.690862110126529,"Lee, William Swain","Minner, Ruth Ann",0.4737,0.5263,"KERRY, JOHN","BUSH, GEORGE W.",0.533468376022815,0.457528185719236
"DE_2020",2020,"DELAWARE","DE",10,51,11,"US HOUSE",0,"DE_2020_0","LISA BLUNT ROCHESTER",0.576283613574457,"LEE MURPHY",0.402220083150716,"Murray, Julianne E.","Carney, John C. Jr.",0.3938,0.6062,"BIDEN, JOSEPH R. JR","TRUMP, DONALD J.",0.587430057936417,0.397748767711055
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",12,"IL_1976_12","EDWIN L FRANK",0.271604819877921,"PHILIP M CRANE",0.728347230679971,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",4,"IL_1976_4","RONALD A RODGER",0.342115802120439,"EDWARD DERWINSKI",0.657878928398288,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",20,"IL_1976_20","PETER MACK",0.364287468092302,"PAUL FINDLEY",0.635712531907698,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",16,"IL_1976_16","STEPHEN EYTALIS",0.320814124803954,"JOHN B ANDERSON",0.679173993631481,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",2,"IL_1976_2","MORGAN F MURPHY",0.846755579206439,"SPENCER LEAK",0.153237768982606,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",23,"IL_1976_23","MELVIN PRICE",0.78626839656802,"SAM P DRENOVAC",0.21373160343198,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",7,"IL_1976_7","CARDISS COLLINS",0.847685745576114,"NEWELL WARD",0.152304647722251,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",13,"IL_1976_13","JAMES J CUMMINGS",0.303026797998369,"ROBERT MCCLORY",0.667977548610181,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",3,"IL_1976_3","MARTIN A RUSSO",0.588653782496881,"RONALD BUIKEMA",0.404522190818119,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",15,"IL_1976_15","TIM L HALL",0.460892283592054,"TOM CORCORAN",0.539107716407946,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",1,"IL_1976_1","RALPH H METCALFE",0.92302085383365,"A A RAYNER JR",0.0739614994934144,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",22,"IL_1976_22","GEORGE E SHIPLEY",0.614330754342833,"RALPH Y MCGINNIS",0.385669245657167,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",10,"IL_1976_10","ABNER J MIKVA",0.500454515636275,"SAMUEL H YOUNG",0.499512684266262,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",11,"IL_1976_11","FRANK ANNUNZIO",0.673922756155679,"DANIEL C REBER",0.326052422557585,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",21,"IL_1976_21","ANNA WALL SCOTT",0.25536446871519,"EDWARD R MADIGAN",0.74462466378678,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",9,"IL_1976_9","SIDNEY R YATES",0.7214631057562,"THOMAS J WAJERSKI",0.278454045673233,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",17,"IL_1976_17","MERLIN KARLOCK",0.417873588351812,"GEORGE M O'BRIEN",0.582126411648188,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",5,"IL_1976_5","JOHN G FARY",0.769452969850153,"VINCENT KROK",0.230547030149847,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",8,"IL_1976_8","DANIEL D ROSTENKOWSKI",0.805410847628273,"JOHN F URBASZEWSKI",0.194589152371727,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",18,"IL_1976_18","MATTHEW RYAN",0.422711483995084,"ROBERT H MICHEL",0.577288516004916,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",14,"IL_1976_14","MARIE AGNES FESE",0.255739936091433,"JOHN ERLENBORN",0.744230476609126,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",19,"IL_1976_19","JOHN CRAVER",0.315011444721736,"TOM RAILSBACK",0.684983388361002,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",6,"IL_1976_6","MARILYN D CLANCY",0.394024780289387,"HENRYJ HYDE",0.60596953876394,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IL_1976",1976,"ILLINOIS","IL",17,33,21,"US HOUSE",24,"IL_1976_24","PAUL SIMON",0.673760559019946,"PETER G PRINEAS",0.326239440980054,"Thompson, James R.","Howlett, Michael J.",0.6512,0.3488,"CARTER, JIMMY","FORD, GERALD",0.481075902689142,0.50076843535294
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",10,"IN_1976_10","PHILIP R SHARP",0.598378680484098,"WILLIAM G FRAZIER",0.401621319515902,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",11,"IN_1976_11","ANDREW JACOBS JR",0.604063400726575,"LAWRENCE L BUELL",0.390020796522446,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",9,"IN_1976_9","LEE H HAMILTON",1,NA,NA,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",5,"IN_1976_5","WILLIAM C STOUT",0.382556395357304,"ELWOOD HILLIS",0.617443604642696,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",2,"IN_1976_2","FLOYD J FITHIAN",0.5474504875608,"WILLIAM W ERWIN",0.444995229118667,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",7,"IN_1976_7","JOHN E TIPTON",0.373046875,"JOHN T MYERS",0.626953125,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",6,"IN_1976_6","DAVID W EVANS",0.549107861307086,"DAVID G CRANE",0.450892138692914,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",1,"IN_1976_1","ADAM BENJAMIN JR",0.713049773116514,"ROBERT J BILLINGS",0.286950226883486,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",3,"IN_1976_3","JOHN BRADEMAS",0.568996651217917,"THOMAS L THORSON",0.431003348782083,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",4,"IN_1976_4","J EDWARD ROUSH",0.445855598108819,"J DANFORTH QUAYLE",0.543749968463491,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1976",1976,"INDIANA","IN",18,32,22,"US HOUSE",8,"IN_1976_8","DAVID L CORNWELL",0.504629072426467,"BELDEN BELL",0.495370927573533,"Bowen, Otis R.","Conrad, Larry A.",0.5715,0.4285,"CARTER, JIMMY","FORD, GERALD",0.457003857929473,0.533227464710709
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",7,"IN_1980_7","PATRICK D CARROLL",0.331555141551108,"JOHN T MYERS",0.660719087312257,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",8,"IN_1980_8","KENNETH C SNIDER",0.448363313839075,"JOEL DECKARD",0.551636686160925,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",6,"IN_1980_6","DAVE EVANS",0.50199350527633,"DAVID G CRANE",0.49800649472367,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",1,"IN_1980_1","ADAM BENJAMIN JR",0.720114687598439,"JOSEPH DOUGLAS HARKIN",0.279885312401561,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",2,"IN_1980_2","FLOYD J FITHIAN",0.540588555039486,"ERNEST NIEMEYER",0.459411444960514,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",4,"IN_1980_4","JOHN D WALDA",0.390950983654496,"DAN R COATS",0.605292877958274,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",10,"IN_1980_10","PHILIP R SHARP",0.533738233558048,"WILLIAM G FRAZIER",0.466261766441952,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",5,"IN_1980_5","NELS J ACKERSON",0.383022320492538,"ELWOOD H HILLIS",0.616977679507462,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",3,"IN_1980_3","JOHN BRADEMAS",0.45019777058612,"JOHN PATRICK HILER",0.54980222941388,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",11,"IN_1980_11","ANDREW JACOBS JR",0.572539099185174,"SHEILA SUESS",0.427460900814826,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1980",1980,"INDIANA","IN",18,32,22,"US HOUSE",9,"IN_1980_9","LEE H HAMILTON",0.643685636856369,"GEORGE MEYER JR",0.356314363143631,"Orr, Robert D.","Hillenbrand, John A.",0.5793,0.4207,"CARTER, JIMMY","REAGAN, RONALD",0.376531924373995,0.560052416712867
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",5,"IN_1984_5","ALLEN B MAXWELL",0.315256322301341,"ELWOOD H HILLIS",0.679236355894112,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",3,"IN_1984_3","MICHAEL P BARNES",0.473083293894936,"JOHN HILER",0.523949725144709,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",1,"IN_1984_1","PETER J VISCLOSKY",0.707021407551307,"JOSEPH B GRENCHIK",0.288444153795849,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",10,"IN_1984_10","ANDREW JACOBS JR",0.589657941716583,"JOSEPH P WATKINS",0.405855964152169,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",9,"IN_1984_9","LEE H HAMILTON",0.651411999619663,"FLOYD E COATES",0.345402681373015,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",7,"IN_1984_7","ARTHUR E SMITH",0.314514734130199,"JOHN T MYERS",0.672694748149699,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",4,"IN_1984_4","MICHAEL H BARNARD",0.385010252488047,"DANIEL R COATS",0.608458185333077,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",8,"IN_1984_8","FRANK MCCLOSKEY",0.498286998274183,"RICHARD D MCINTYRE",0.498269910975172,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",6,"IN_1984_6","HOWARD O CAMPBELL",0.267513747437608,"DAN BURTON",0.727288256922526,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1984",1984,"INDIANA","IN",18,32,22,"US HOUSE",2,"IN_1984_2","PHILIP R SHARP",0.534282750165048,"KEN MACKENZIE",0.462856424282436,"Orr, Robert D.","Townsend, W. Wayne",0.5251,0.4749,"MONDALE, WALTER","REAGAN, RONALD",0.37682713789856,0.616743145867862
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",7,"IN_1988_7","MARK RICHARD WATERFILL",0.382072346627799,"JOHN T MYERS",0.617927653372201,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",1,"IN_1988_1","PETER J VISCLOSKY",0.770943583509455,"OWEN W CUMPACKER",0.229056416490545,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",2,"IN_1988_2","PHILIP R SHARP",0.532009774254759,"MIKE PENCE",0.467990225745241,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",9,"IN_1988_9","LEE H HAMILTON",0.707186063159715,"FLOYD EUGENE COATES",0.292813936840285,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",6,"IN_1988_6","GEORGE THOMAS HOLLAND",0.271134791336984,"DAN BURTON",0.728865208663016,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",10,"IN_1988_10","ANDREW JACOBS JR",0.605443188578227,"JAMES C CUMMINGS",0.394556811421773,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",3,"IN_1988_3","THOMAS W WARD",0.457116451879408,"JOHN HILER",0.542883548120592,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",5,"IN_1988_5","JIM JONTZ",0.563170108961595,"PATRICIA L WILLIAMS",0.436829891038405,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",4,"IN_1988_4","JILL LONG",0.378535540190309,"DAN COATS",0.621464459809691,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1988",1988,"INDIANA","IN",18,32,22,"US HOUSE",8,"IN_1988_8","FRANK MCCLOSKEY",0.618145323514492,"JOHN L MYERS",0.381854676485508,"Mutz, John M.","Bayh, Evan",0.4682,0.5318,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",0.396861876741026,0.598427756625063
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",6,"IN_1992_6","NATALIE M BRUNER",0.278392756959625,"DAN BURTON",0.721591766458378,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",3,"IN_1992_3","TIM ROEMER",0.574454176397304,"CARL H BAXMEYER",0.425545823602696,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",2,"IN_1992_2","PHILIP R SHARP",0.57079744434026,"WILLIAM G FRAZIER",0.395093656643189,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",1,"IN_1992_1","PETER J VISCLOSKY",0.694227283027419,"DAVID J VUCICH",0.305772716972581,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",9,"IN_1992_9","LEE H HAMILTON",0.696771512787995,"MICHAEL E BAILEY",0.303228487212005,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
"IN_1992",1992,"INDIANA","IN",18,32,22,"US HOUSE",10,"IN_1992_10","ANDREW JACOBS JR",0.639739760976114,"JANOS HORVATH",0.350202087787152,"Pearson, Linley E.","Bayh, Evan",0.3731,0.6269,"CLINTON, BILL","BUSH, GEORGE H.W.",0.36793905643464,0.429067801277695
